Nombre,Descripción,Categoría,Precio,Chico,Mediano,Grande,Surtido Chico,Surtido Grande,Imagen,id,slug
Spaguetti - Con camarón,,Favoritos 🤩,$110.00,,,,,,https://drive.google.com/file/d/1apmhksRYQfPmGLvhQFWHn_Z7Bcv78pVM/view?usp=sharing,1,1
Marinero,,Favoritos 🤩,$160.00,,,,,,https://drive.google.com/file/d/1Ckq820WROAxftckC9MR9EvaS7Z3hLU9I/view?usp=sharing,2,2
Chocolate,,Favoritos 🤩,$30.00,,,,,,https://drive.google.com/file/d/1gCE_-pXJ2AcEylBPzYtnreb04JH_eXHm/view?usp=sharing,3,3
Pozole,,Favoritos 🤩,,$60.00,,$70.00,$70.00,$80.00,https://drive.google.com/file/d/1PBrFwhU6sOk8_C7ItB7cfl4pvOJLDhFH/view?usp=sharing,4,4
Chilaques gratinados con pollo o huevo,,Favoritos 🤩,$90.00,,,,,,https://drive.google.com/file/d/1TAM7y7eY8ALlKnZk-GgveIP-eVNIJgkZ/view?usp=sharing,5,5
Enfrijoladas pollo o panela c/3,,Favoritos 🤩,$60.00,,,,,,https://drive.google.com/file/d/1w4_iAljWXLRjlCTNtzH5v_Uu6kR3wZ3M/view?usp=sharing,6,6
Enchiladas,,Favoritos 🤩,$18.00,,,,,,https://drive.google.com/file/d/1xJc85eQoWTxmhk-GcZBnO6kzPJiZ4Qjc/view?usp=sharing,7,7
Panela con albahaca,,Entradas🍴,$70.00,,,,,,,8,8
Guacamole,,Entradas🍴,$45.00,,,,,,,9,9
Queso fundido,,Entradas🍴,$80.00,,,,,,,10,10
Queso fundido con carne,,Entradas🍴,$95.00,,,,,,,11,11
Carnes frías,,Entradas🍴,$70.00,,,,,,,12,12
Frijoles,,Entradas🍴,$30.00,,,,,,,13,13
Nachos,,Entradas🍴,$60.00,,,,,,,14,14
Nachos con carne,,Entradas🍴,$85.00,,,,,,,15,15
Orden de papas,,Entradas🍴,$40.00,,,,,,,16,16
Orden de panela,,Entradas🍴,$35.00,,,,,,,17,17
Jocoque,,Entradas🍴,$50.00,,,,,,,18,18
Desayuno Compostelence,"Chilaquiles, guisado y huevo estrellado o revuelto",Desayunos 🍳,$95.00,,,,,,,19,19
Huevos - Revueltos o estrellados,,Desayunos 🍳,$50.00,,,,,,,20,20
Huevos - Al gusto,,Desayunos 🍳,$65.00,,,,,,,21,21
Huevos - Divorciados,,Desayunos 🍳,$70.00,,,,,,,22,22
Huevos dormidos,"Huevos dentro de una tortilla frita, acompañado con una cama de frijoles y guisado a elegir",Desayunos 🍳,$90.00,,,,,,,23,23
Huevos - Omelette,"Espicana, champiñon, tocino, jamón, chedar o panela",Desayunos 🍳,$70.00,,,,,,,24,24
Enfrijoladas pollo o panela c/3,,Desayunos 🍳,$60.00,,,,,,,25,25
Chilaquiles - Sencillos,,Desayunos 🍳,$65.00,,,,,,,26,26
Chilaquiles - Con huevo,,Desayunos 🍳,$70.00,,,,,,,27,27
Chilaquiles - Con pollo,,Desayunos 🍳,$75.00,,,,,,,28,28
Chilaquiles - Con sirlon,,Desayunos 🍳,$100.00,,,,,,,29,29
Chilaquiles - Con arrachera,,Desayunos 🍳,$115.00,,,,,,,30,30
Chilaquiles - Grat. con pollo o huevo,,Desayunos 🍳,$90.00,,,,,,,31,31
Chilaquiles - 1/2 chilaquiles con huevo,,Desayunos 🍳,$60.00,,,,,,,32,32
Molletes - Mantequilla,,Desayunos 🍳,$30.00,,,,,,,33,33
Molletes - Con queso y frijol,,Desayunos 🍳,$60.00,,,,,,,34,34
"Molletes - Con asada, chorizo o champiñon",,Desayunos 🍳,$70.00,,,,,,,35,35
Molletes - Con tocino,,Desayunos 🍳,$75.00,,,,,,,36,36
Hotcakes - Secillo,,Desayunos 🍳,$55.00,,,,,,,37,37
Hotcakes - Con fruta,,Desayunos 🍳,$75.00,,,,,,,38,38
